id,first_name,last_name,team,position,age,exp,pos,avg_type,points,pos_rank,drop_off,sd_pts,floor,ceiling,tier
8416,Delanie,Walker,TEN,TE,35,13,TE,weighted,9.01326054051538,12,0.103016587027012,1.35601012269301,6.8,10.506875,3
8658,Adrian,Peterson,WAS,RB,34,12,RB,average,11.5377424346623,43,0.0191789003811245,7.98627170826296,4.21999318482046,20.7852348987702,8
8658,Adrian,Peterson,WAS,RB,34,12,RB,robust,10.5678257679956,49,0.271520212440064,6.10497287218436,4.21999318482046,20.7852348987702,8
8658,Adrian,Peterson,WAS,RB,34,12,RB,weighted,8.02179537124239,50,0.238071892032489,4.06627148253929,3.3994037468476,11.1884568652966,8
8670,Marshawn,Lynch,FA,RB,33,12,RB,average,27.6,1,3.75693347381199,,27.6,27.6,1
8670,Marshawn,Lynch,FA,RB,33,12,RB,robust,27.6,1,3.61237169756242,0,27.6,27.6,1
8670,Marshawn,Lynch,FA,RB,33,12,RB,weighted,,,,,27.6,27.6,
8673,Ted,Ginn Jr.,NOS,WR,34,12,WR,average,8.74803446444195,59,0.251480841253539,1.67165216130061,7.466,11.3064289588801,11
8673,Ted,Ginn Jr.,NOS,WR,34,12,WR,robust,8.738,58,0.267363636363635,0.735369599999999,7.466,11.3064289588801,11
8673,Ted,Ginn Jr.,NOS,WR,34,12,WR,weighted,8.9322891063831,57,0.0989285763446954,1.90368212137302,7.62,11.4205800873295,11
8687,Greg,Olsen,CAR,TE,34,12,TE,average,9.479625,12,0.2481875,4.48247262560361,6.86,16.54635,3
8687,Greg,Olsen,CAR,TE,34,12,TE,robust,8.343,17,0.152214285714285,1.534491,6.86,16.54635,3
8687,Greg,Olsen,CAR,TE,34,12,TE,weighted,8.10491023255814,18,0.248952514223555,1.26361560190157,6.86,9.64957902735562,3
8712,Drew,Stanton,CLE,QB,35,12,QB,average,1.2477,59,0.128336913780664,0.556541218599306,0.14296,1.4236,8
8712,Drew,Stanton,CLE,QB,35,12,QB,robust,1.2327,56,0.0961705627705625,0.36056832,0.14296,1.4236,8
8712,Drew,Stanton,CLE,QB,35,12,QB,weighted,1.16898220120193,46,0.092751901784909,0.651148234033093,0,1.4154128440367,8
8944,Matt,Moore,KCC,QB,35,12,QB,average,0.893745454545454,64,0.0345618006993006,0.531185372601803,0.0523963636363636,1.1908,8
8944,Matt,Moore,KCC,QB,35,12,QB,robust,0.969,61,0.0425714285714285,0.4017846,0.0523963636363636,1.1908,8
8944,Matt,Moore,KCC,QB,35,12,QB,weighted,0.843078638192271,50,0.0403226012209289,0.590822901503133,0,1.1869877675841,8
9054,Jamaal,Charles,FA,RB,33,11,RB,average,11.9,42,0.362565248387694,,11.9,11.9,8
9054,Jamaal,Charles,FA,RB,33,11,RB,robust,11.9,42,0.268024134820616,0,11.9,11.9,8
9054,Jamaal,Charles,FA,RB,33,11,RB,weighted,,,,,11.9,11.9,8
9064,Joe,Flacco,DEN,QB,34,11,QB,average,17.2746947157128,31,0.267507506535235,1.0398531746583,14.481,17.0938590304315,6
9064,Joe,Flacco,DEN,QB,34,11,QB,robust,17.2805013424369,29,0.0625878855079094,1.03130230699258,14.481,17.0938590304315,6
9064,Joe,Flacco,DEN,QB,34,11,QB,weighted,16.9433027624299,27,0.16543837696543,0.689595845239053,14.81,16.3518079685086,6
9073,Chad,Henne,KCC,QB,34,11,QB,average,9.26,43,2.61299878241969,6.54780879378743,0.463,8.797,8
9073,Chad,Henne,KCC,QB,34,11,QB,robust,9.26,43,5.58446041666667,6.864438,0.463,8.797,8
9073,Chad,Henne,KCC,QB,34,11,QB,weighted,0,71,,,0,0,8
9075,DeSean,Jackson,PHI,WR,33,11,WR,average,12.3499061955965,30,0.0820641611516333,5.86067661521502,9.11,21.158,7
9075,DeSean,Jackson,PHI,WR,33,11,WR,robust,10.3290869175627,45,0.202336917562725,1.40847,9.11,21.158,7
9075,DeSean,Jackson,PHI,WR,33,11,WR,weighted,10.3248631025041,45,0.140597788898491,0.919682274719315,9.02,11.1421880430108,7
9099,Matt,Ryan,ATL,QB,34,11,QB,average,21.0465563641389,12,0.1639080335204,2.06746171413647,16.6064832432432,21.5118671369309,3
9099,Matt,Ryan,ATL,QB,34,11,QB,robust,20.8583243243243,13,0.0885843559358399,2.84314471168491,16.6064832432432,21.5118671369309,3
9099,Matt,Ryan,ATL,QB,34,11,QB,weighted,20.8312837744411,12,0.319171064327151,2.10153102529361,16.4072972972973,21.5240265187313,3
9200,Matt,Slater,NEP,WR,34,11,WR,average,0,184,,,0,0,
9200,Matt,Slater,NEP,WR,34,11,WR,robust,0,184,,0,0,0,
9200,Matt,Slater,NEP,WR,34,11,WR,weighted,0,179,,,0,0,
9207,Josh,Johnson,DET,QB,33,11,QB,average,0.11,83,0.055,0.15556349186104,0.011,0.209,10
9207,Josh,Johnson,DET,QB,33,11,QB,robust,0.11,83,0.055,0.163086,0.011,0.209,10
9207,Josh,Johnson,DET,QB,33,11,QB,weighted,0.0992866941015089,67,0.0507475994513032,0.15556349186104,0,0.195626139817629,10
9308,Danny,Amendola,DET,WR,34,11,WR,average,8.21691666666667,64,0.129172354598472,1.23986558411251,7.0975,9.95,11
9308,Danny,Amendola,DET,WR,34,11,WR,robust,8.159,63,0.0267826086956529,0.904385999999998,7.0975,9.95,11
9308,Danny,Amendola,DET,WR,34,11,WR,weighted,8.23468772717885,64,0.168619046366175,1.39706847045386,6.98,9.9498023255814,11
9427,Michael,Crabtree,ARI,WR,32,10,WR,average,5.281,95,0.114163636363636,2.07157500467639,3.3177,7.032,14
9427,Michael,Crabtree,ARI,WR,32,10,WR,robust,5.20075,95,0.0598636363636365,2.5901022,3.3177,7.032,14
9427,Michael,Crabtree,ARI,WR,32,10,WR,weighted,5.29133923578751,94,0.0766317742532108,2.01617711403702,3.143,6.89881686046512,14
9431,Matthew,Stafford,DET,QB,31,10,QB,average,18.9496685378848,25,1.1596685378848,1.73675820612155,15.8716903225806,19.7893896704214,6
